record_type,area_code,sec,icao,icao_code,sub,localizer_identifier,ils_category,localizer_frequency,runway_identifier,localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_position_reference,glide_slope_position,localizer_width,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,supporting_facility_id,supporting_facility_icao,supporting_facility_section,supporting_facility_subsection,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123,changed_field_count,changed_fields
S,EEU,P,EPGD,EP,I,IGDA,3,11030,RW29,N54225630,E018264930,2860,N54221780,E018290830,1162,,1215,0500,300,E0070,53,00500,,,,,S,Simulation application continuation,U  N,,,15277,2510,SEEUP EPGDEPIIGDA3   111030RW29 N54225630E0182649302860N54221780E0182908301162 12150500300E00705300500                     ,SEEUP EPGDEPIIGDA3   2S    U  N                    29300N                              140                                 ,5,"localizer_bearing,station_declination,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,EPLL,EP,I,LOD,1,11050,RW25,N51425590,E019220840,2450,N51432480,E019240160,0766,,1276,0000,300,E0060,50,00600,,,,,S,Simulation application continuation,U  N,,,16905,1907,SEEUP EPLLEPILOD 1   111050RW25 N51425590E0192208402450N51432480E0192401600766 12760000300E00605000600                     ,SEEUP EPLLEPILOD 1   2S    U  N                    25100N                              140                                 ,3,"glide_slope_longitude,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,EPWA,EP,I,WAS,2,10990,RW11,N52093820,E020590750,1080,N52101620,E020570590,0365,,1033,0000,300,E0060,53,00400,,,,,S,Simulation application continuation,U  N,,,19723,2108,SEEUP EPWAEPIWAS 2   110990RW11 N52093820E0205907501080N52101620E0205705900365 10330000300E00605300400                     ,SEEUP EPWAEPIWAS 2   2S    U  N                    11400N                              140                                 ,3,"localizer_position,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,EYKA,EY,I,IKM,1,10950,RW08,N54575525,E024064906,0780,N54574280,E024040840,0755,,0972,0000,300,E0080,51,00300,,,,,S,Simulation application continuation,U  N,,,21506,2509,SEEUP EYKAEYIIKM 1   110950RW08 N54575525E0240649060780N54574280E0240408400755 09720000300E00805100300                     ,SEEUP EYKAEYIIKM 1   2S    U  N                    08600N                              140                                 ,5,"localizer_latitude,localizer_longitude,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,EYKA,EY,I,ISE,2,10990,RW26,N54574497,E024032154,2580,N54574900,E024060010,0744,,1154,0000,300,E0080,52,00300,,,,,S,Simulation application continuation,U  N,,,21508,2509,SEEUP EYKAEYIISE 2   110990RW26 N54574497E0240321542580N54574900E0240600100744 11540000300E00805200300                     ,SEEUP EYKAEYIISE 2   2S    U  N                    26600Y                              140                                 ,6,"localizer_latitude,localizer_longitude,glide_slope_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,LBPD,LB,I,IPD,1,10990,RW30,N42043470,E024500930,3010,N42034950,E024513760,1004,,1154,0000,300,E0060,53,00604,,,,,S,Simulation application continuation,U  N,,,23616,2505,SEEUP LBPDLBIIPD 1   110990RW30 N42043470E0245009303010N42034950E0245137601004 11540000300E00605300604                     ,SEEUP LBPDLBIIPD 1   2S    U  N                    30700N                              140                                 ,5,"localizer_bearing,station_declination,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,LKCS,LK,I,BW,1,11050,RW27,N48564691,E014241873,2650,N48564309,E014261315,1250,,0851,0500,300,E0050,50,01420,,,,,S,Simulation application continuation,U  U,,,26770,2510,SEEUP LKCSLKIBW  1   111050RW27 N48564691E0142418732650N48564309E0142613151250 08510500300E00505001420                     ,SEEUP LKCSLKIBW  1   2S    U  U                    27000N                              140                                 ,10,"localizer_latitude,localizer_longitude,glide_slope_latitude,glide_slope_longitude,localizer_position,glide_slope_position,glide_slope_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,LKPD,LK,I,PK,1,10935,RW27,N50005090,E015425927,2680,N50004295,E015450668,1103,,0972,0500,300,E0050,49,00783,,,,,S,Simulation application continuation,U  N,,,28177,2505,SEEUP LKPDLKIPK  1   110935RW27 N50005090E0154259272680N50004295E0154506681103 09720500300E00504900783                     ,SEEUP LKPDLKIPK  1   2S    U  N                    27300Y                              140                                 ,5,"localizer_bearing,station_declination,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,UBBB,UB,I,IBA,3,10930,RW35,N40292510,E050034580,3530,N40273850,E050034280,1831,,1094,0000,300,E0060,50,-0013,,,,,S,Simulation application continuation,U  N,,,44411,2507,SEEUP UBBBUBIIBA 3   110930RW35 N40292510E0500345803530N40273850E0500342801831 10940000300E006050-0013                     ,SEEUP UBBBUBIIBA 3   2S    U  N                    35900N                              140                                 ,7,"glide_slope_latitude,glide_slope_longitude,glide_slope_position,glide_slope_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,UBBB,UB,I,IBI,3,10950,RW16,N40270380,E050023470,1610,N40291500,E050014690,1820,,1215,0000,300,E0060,55,00010,,,,,S,Simulation application continuation,U  N,,,44413,2004,SEEUP UBBBUBIIBI 3   110950RW16 N40270380E0500234701610N40291500E0500146901820 12150000300E00605500010                     ,SEEUP UBBBUBIIBI 3   2S    U  N                    16700N                              140                                 ,4,"localizer_position,glide_slope_position,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,UBBB,UB,I,IBN,3,11170,RW34,N40294490,E050014400,3410,N40273090,E050021960,1806,,1094,0000,300,E0060,55,00010,,,,,S,Simulation application continuation,U  N,,,44415,2004,SEEUP UBBBUBIIBN 3   111170RW34 N40294490E0500144003410N40273090E0500219601806 10940000300E00605500010                     ,SEEUP UBBBUBIIBN 3   2S    U  N                    34700N                              140                                 ,4,"localizer_position,glide_slope_position,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,UBBB,UB,I,IBU,3,11050,RW17,N40271550,E050034780,1730,N40285630,E050034160,0787,,1094,0000,300,E0060,50,00011,,,,,S,Simulation application continuation,U  N,,,44417,2507,SEEUP UBBBUBIIBU 3   111050RW17 N40271550E0500347801730N40285630E0500341600787 10940000300E00605000011                     ,SEEUP UBBBUBIIBU 3   2S    U  N                    17900N                              140                                 ,8,"localizer_latitude,glide_slope_latitude,localizer_position,glide_slope_position,glide_slope_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,UBBL,UB,I,ILM,1,10990,RW33,N38462370,E048474570,3250,N38445190,E048484490,0639,,1094,0500,300,E0060,50,00100,,,,,S,Simulation application continuation,U  N,,,44789,2507,SEEUP UBBLUBIILM 1   110990RW33 N38462370E0484745703250N38445190E0484844900639 10940500300E00605000100                     ,SEEUP UBBLUBIILM 1   2S    U  N                    33100N                              140                                 ,6,"localizer_bearing,station_declination,glide_slope_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,UGSB,UG,I,ILU,1,11030,RW12,N41360360,E041364880,1240,N41365190,E041352620,0721,,0981,0000,300,E0070,51,00066,,,,,S,Simulation application continuation,U  U,,,50199,2503,SEEUP UGSBUGIILU 1   111030RW12 N41360360E0413648801240N41365190E0413526200721 09810000300E00705100066                     ,SEEUP UGSBUGIILU 1   2S    U  U                    13100N                              140                                 ,3,"glide_slope_elevation,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,UHNN,UH,I,IME,1,11170,RW29,N53091810,E140380230,2880,N53090910,E140394440,0733,,0548,0000,380,W0130,55,00187,,,,,S,Simulation application continuation,U  N,,,56299,2308,SEEUP UHNNUHIIME 1   111170RW29 N53091810E1403802302880N53090910E1403944400733 05480000380W01305500187                     ,SEEUP UHNNUHIIME 1   2S    U  N                    27500N                              140                                 ,4,"glide_slope_longitude,glide_slope_height_lthr,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,UIUU,UI,I,IUL,1,11130,RW08,N51485000,E107281850,0840,N51483010,E107251590,1632,,1155,0000,300,W0060,56,01700,,,,,S,Simulation application continuation,U  N,,,62216,2509,SEEUP UIUUUIIIUL 1   111130RW08 N51485000E1072818500840N51483010E1072515901632 11550000300W00605601700                     ,SEEUP UIUUUIIIUL 1   2S    U  N                    07800N                              140                                 ,6,"localizer_bearing,station_declination,glide_slope_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,UIUU,UI,I,IZD,1,11030,RW26,N51482090,E107243630,2640,N51484870,E107273810,1488,,0850,0000,333,W0060,57,01660,,,,,S,Simulation application continuation,U  N,,,62218,2509,SEEUP UIUUUIIIZD 1   111030RW26 N51482090E1072436302640N51484870E1072738101488 08500000333W00605701660                     ,SEEUP UIUUUIIIZD 1   2S    U  N                    25800N                              140                                 ,6,"localizer_bearing,station_declination,glide_slope_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,ULAA,UL,I,IAZ,1,11030,RW08,N64355440,E040451440,0780,N64360850,E040414660,1816,,0850,0000,300,E0180,52,00100,,,,,S,Simulation application continuation,U  N,,,66752,2504,SEEUP ULAAULIIAZ 1   111030RW08 N64355440E0404514400780N64360850E0404146601816 08500000300E01805200100                     ,SEEUP ULAAULIIAZ 1   2S    U  N                    09600N                              140                                 ,4,"localizer_position,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,ULAA,UL,I,IKM,1,11170,RW26,N64360850,E040402520,2580,N64360300,E040441110,2672,,1033,0000,300,E0180,57,00100,,,,,S,Simulation application continuation,U  N,,,66754,2504,SEEUP ULAAULIIKM 1   111170RW26 N64360850E0404025202580N64360300E0404411102672 10330000300E01805700100                     ,SEEUP ULAAULIIKM 1   2S    U  N                    27600N                              140                                 ,4,"localizer_position,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,ULLI,UL,I,IPK,2,11190,RW10R,N59471670,E030175560,0950,N59475200,E030132180,3042,,0972,0000,300,E0110,53,00100,,,,,S,Simulation application continuation,U  N,,,68250,1905,SEEUP ULLIULIIPK 2   111190RW10RN59471670E0301755600950N59475200E0301321803042 09720000300E01105300100                     ,SEEUP ULLIULIIPK 2   2S    U  N                    10640Y                              140                                 ,3,"glide_slope_height_lthr,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,ULMM,UL,I,IPF,1,11030,RW13,N68455330,E032465760,1290,N68471930,E032440470,3385,,0791,0000,300,E0170,51,00267,,,,,S,Simulation application continuation,U  N,,,69049,2505,SEEUP ULMMULIIPF 1   111030RW13 N68455330E0324657601290N68471930E0324404703385 07910000300E01705100267                     ,SEEUP ULMMULIIPF 1   2S    U  N                    14600N                              140                                 ,5,"localizer_bearing,station_declination,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,ULMM,UL,I,IRD,1,10850,RW31,N68473940,E032434130,3090,N68462780,E032454050,1397,,1093,0000,300,E0170,50,00267,,,,,S,Simulation application continuation,U  N,,,69051,2505,SEEUP ULMMULIIRD 1   110850RW31 N68473940E0324341303090N68462780E0324540501397 10930000300E01705000267                     ,SEEUP ULMMULIIRD 1   2S    U  N                    32600N                              140                                 ,5,"localizer_bearing,station_declination,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,ULPB,UL,I,IPD,1,11070,RW19,N61521180,E034082780,1890,N61533640,E034093460,1943,,0971,0000,300,E0140,51,00151,,,,,S,Simulation application continuation,U  N,,,69693,2504,SEEUP ULPBULIIPD 1   111070RW19 N61521180E0340827801890N61533640E0340934601943 09710000300E01405100151                     ,SEEUP ULPBULIIPD 1   2S    U  N                    20300N                              140                                 ,5,"localizer_bearing,station_declination,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,UMIO,UM,I,IRS,2,11090,RW05,N54265380,E030191780,0500,N54260710,E030164390,1321,,0911,0500,300,E0100,57,00647,,,,,S,Simulation application continuation,U  U,,,70810,2012,SEEUP UMIOUMIIRS 2   111090RW05 N54265380E0301917800500N54260710E0301643901321 09110500300E01005700647                     ,SEEUP UMIOUMIIRS 2   2S    U  U                    06000N                              140                                 ,3,"glide_slope_height_lthr,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,UMMS,UM,I,IMDL,3,11070,RW13L,N53523830,E028042920,1300,N53541440,E028021610,1447,,0972,0000,300,E0090,53,00643,,,,,S,Simulation application continuation,U  N,,,72664,2104,SEEUP UMMSUMIIMDL3   111070RW13LN53523830E0280429201300N53541440E0280216101447 09720000300E00905300643                     ,SEEUP UMMSUMIIMDL3   2S    U  N                    13900N                              140                                 ,3,"glide_slope_height_lthr,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,UNKM,UN,I,IRL,1,11030,RW29,N56110320,E092310470,2890,N56103510,E092332310,3418,,0971,0000,300,E0040,50,00833,,,,,S,Simulation application continuation,U  N,,,76413,2108,SEEUP UNKMUNIIRL 1   111030RW29 N56110320E0923104702890N56103510E0923323103418 09710000300E00405000833                     ,SEEUP UNKMUNIIRL 1   2S    U  N                    29300N                              140                                 ,3,"glide_slope_height_lthr,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,UNNT,UN,I,IRO,1,11010,RW07,N55005881,E082413638,0720,N55004212,E082373832,3242,,1093,0000,300,E0090,51,00368,,,,,S,Simulation application continuation,U  N,,,77966,2504,SEEUP UNNTUNIIRO 1   111010RW07 N55005881E0824136380720N55004212E0823738323242 10930000300E00905100368                     ,SEEUP UNNTUNIIRO 1   2S    U  N                    08100Y                              140                                 ,10,"localizer_latitude,localizer_longitude,glide_slope_latitude,glide_slope_longitude,localizer_position,glide_slope_position,glide_slope_height_lthr,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,UNOO,UN,I,IRM,1,10830,RW07,N54581710,E073203230,0650,N54575000,E073174680,2813,,0971,0000,330,E0120,54,00320,,,,,S,Simulation application continuation,U  N,,,78673,2111,SEEUP UNOOUNIIRM 1   110830RW07 N54581710E0732032300650N54575000E0731746802813 09710000330E01205400320                     ,SEEUP UNOOUNIIRM 1   2S    U  N                    07700N                              140                                 ,3,"glide_slope_elevation,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,UNOO,UN,I,ITK,1,11010,RW25,N54574480,E073163050,2450,N54580440,E073193160,3470,,0912,0000,300,E0120,51,00310,,,,,S,Simulation application continuation,U  N,,,78675,2506,SEEUP UNOOUNIITK 1   111010RW25 N54574480E0731630502450N54580440E0731931603470 09120000300E01205100310                     ,SEEUP UNOOUNIITK 1   2S    U  N                    25700N                              140                                 ,8,"localizer_longitude,glide_slope_longitude,localizer_position,glide_slope_position,glide_slope_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,URML,UR,I,IHC,1,10830,RW14,N42475560,E047400380,1410,N42491520,E047384990,3418,,1033,0000,300,E0070,58,00001,,,,,S,Simulation application continuation,U  N,,,84296,2510,SEEUP URMLURIIHC 1   110830RW14 N42475560E0474003801410N42491520E0473849903418 10330000300E00705800001                     ,SEEUP URMLURIIHC 1   2S    U  N                    14800N                              140                                 ,7,"glide_slope_latitude,glide_slope_longitude,glide_slope_position,glide_slope_height_lthr,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,URML,UR,I,ISM,1,10990,RW32,N42495940,E047381920,3210,N42482930,E047392680,3993,,0912,0000,300,E0070,55,00001,,,,,S,Simulation application continuation,U  N,,,84298,2113,SEEUP URMLURIISM 1   110990RW32 N42495940E0473819203210N42482930E0473926803993 09120000300E00705500001                     ,SEEUP URMLURIISM 1   2S    U  N                    32800N                              140                                 ,3,"localizer_position,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,URSS,UR,I,IAD,1,11050,RW02,N43271800,E039573640,0220,N43261030,E039565160,0391,,0972,0000,283,E0070,50,00115,,,,,S,Simulation application continuation,U  N,,,88623,2013,SEEUP URSSURIIAD 1   111050RW02 N43271800E0395736400220N43261030E0395651600391 09720000283E00705000115                     ,SEEUP URSSURIIAD 1   2S    U  N                    02900N                              140                                 ,3,"glide_slope_height_lthr,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,USUU,US,I,IUN,1,10990,RW20,N55273560,E065235860,1960,N55285900,E065251410,2145,,1155,0000,270,E0140,52,00200,,,,,S,Simulation application continuation,U  N,,,01441,2014,SEEUP USUUUSIIUN 1   110990RW20 N55273560E0652358601960N55285900E0652514102145 11550000270E01405200200                     ,SEEUP USUUUSIIUN 1   2S    U  N                    21000N                              140                                 ,3,"glide_slope_elevation,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,UTDK,UT,I,ICG,1,10810,RW01,N38002330,E069484390,0120,N37583560,E069481020,1982,,0791,0000,300,E0040,58,02221,,,,,S,Simulation application continuation,U  N,,,03853,2504,SEEUP UTDKUTIICG 1   110810RW01 N38002330E0694843900120N37583560E0694810201982 07910000300E00405802221                     ,SEEUP UTDKUTIICG 1   2S    U  N                    01600N                              140                                 ,15,"localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,glide_slope_position,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123"
S,EEU,P,UUBC,UU,I,IGC,1,11170,RW31,N54333260,E036212880,3130,N54323530,E036224910,1138,,0912,0000,300,E0110,51,00620,,,,,S,Simulation application continuation,U  N,,,04683,2504,SEEUP UUBCUUIIGC 1   111170RW31 N54333260E0362128803130N54323530E0362249101138 09120000300E01105100620                     ,SEEUP UUBCUUIIGC 1   2S    U  N                    32400N                              140                                 ,6,"localizer_bearing,station_declination,glide_slope_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,UUDD,UU,I,IDM,3,11010,RW13R,N55232670,E037543100,1340,N55250450,E037522310,1935,,1033,0000,300,E0120,50,00600,,,,,S,Simulation application continuation,U  N,,,07316,2508,SEEUP UUDDUUIIDM 3   111010RW13RN55232670E0375431001340N55250450E0375223101935 10330000300E01205000600                     ,SEEUP UUDDUUIIDM 3   2S    U  N                    14600N                              140                                 ,6,"runway_identifier,localizer_bearing,station_declination,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,UUDD,UU,I,IDO,1,10930,RW31L,N55253770,E037515330,3140,N55234790,E037535310,2681,,1093,0000,300,E0120,57,00600,,,,,S,Simulation application continuation,U  N,,,07318,2508,SEEUP UUDDUUIIDO 1   110930RW31LN55253770E0375153303140N55234790E0375353102681 10930000300E01205700600                     ,SEEUP UUDDUUIIDO 1   2S    U  N                    32600N                              140                                 ,6,"runway_identifier,localizer_bearing,station_declination,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,UWKS,UW,I,ILA,1,11030,RW06,N56054030,E047221350,0580,N56052040,E047195730,0864,,1155,0000,300,E0140,51,00560,,,,,S,Simulation application continuation,U  N,,,16563,2508,SEEUP UWKSUWIILA 1   111030RW06 N56054030E0472213500580N56052040E0471957300864 11550000300E01405100560                     ,SEEUP UWKSUWIILA 1   2S    U  N                    07200N                              140                                 ,6,"glide_slope_latitude,glide_slope_longitude,glide_slope_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,UWOO,UW,I,ILM,1,10930,RW26,N51474470,E055252420,2590,N51475070,E055281200,3407,,1093,0000,270,E0110,57,00392,,,,,S,Simulation application continuation,U  N,,,18328,1410,SEEUP UWOOUWIILM 1   110930RW26 N51474470E0552524202590N51475070E0552812003407 10930000270E01105700392                     ,SEEUP UWOOUWIILM 1   2S    U  N                    27000N                              140                                 ,4,"glide_slope_height_lthr,glide_slope_elevation,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,ZBAA,ZB,I,INJ,2,10850,RW01,N40054433,E116364273,0010,N40034239,E116370725,1017,,1001,0000,300,W0080,49,00102,,,,,S,Simulation application continuation,U  N,,,27504,2507,SEEUP ZBAAZBIINJ 2   110850RW01 N40054433E1163642730010N40034239E1163707251017 10010000300W00804900102                     ,SEEUP ZBAAZBIINJ 2   2S    U  N                    35300N                              140                                 ,6,"localizer_latitude,localizer_longitude,localizer_position,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,ZGGG,ZG,I,IBB,1,11075,RW02L,N23244194,E113185420,0170,N23224129,E113182633,1017,,1040,0000,300,W0030,53,00064,,,,,S,Simulation application continuation,U  N,,,33728,2508,SEEUP ZGGGZGIIBB 1   111075RW02LN23244194E1131854200170N23224129E1131826331017 10400000300W00305300064                     ,SEEUP ZGGGZGIIBB 1   2S    U  N                    01400Y                              140                                 ,5,"localizer_frequency,glide_slope_height_lthr,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,ZSAM,ZS,I,IWF,1,11030,RW05,N24331660,E118083207,0560,N24321712,E118070202,0574,,1001,0000,300,W0040,49,00082,,,,,S,Simulation application continuation,U  N,,,46429,2502,SEEUP ZSAMZSIIWF 1   111030RW05 N24331660E1180832070560N24321712E1180702020574 10010000300W00404900082                     ,SEEUP ZSAMZSIIWF 1   2S    U  N                    05200N                              140                                 ,3,"glide_slope_elevation,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,ZSWZ,ZS,I,IKN,1,11030,RW03,N27552529,E120514090,0340,N27535190,E120504947,1017,,1033,0000,300,W0060,49,00017,,,,,S,Simulation application continuation,U  N,,,55614,2507,SEEUP ZSWZZSIIKN 1   111030RW03 N27552529E1205140900340N27535190E1205049471017 10330000300W00604900017                     ,SEEUP ZSWZZSIIKN 1   2S    U  N                    02800N                              140                                 ,8,"localizer_bearing,glide_slope_latitude,glide_slope_longitude,station_declination,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123"
S,EEU,P,ZSWZ,ZS,I,IWZ,1,10870,RW21,N27533589,E120503476,2140,N27550554,E120513396,1017,,1033,0000,300,W0060,49,00017,,,,,S,Simulation application continuation,U  N,,,55616,2507,SEEUP ZSWZZSIIWZ 1   110870RW21 N27533589E1205034762140N27550554E1205133961017 10330000300W00604900017                     ,SEEUP ZSWZZSIIWZ 1   2S    U  N                    20800N                              140                                 ,8,"localizer_bearing,glide_slope_latitude,glide_slope_longitude,station_declination,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123"
S,EEU,P,ZYCC,ZY,I,IDD,1,10930,RW06,N44002586,E125420981,0600,N43592310,E125402035,0820,,1115,0000,300,W0110,49,00722,,,,,S,Simulation application continuation,U  N,,,62347,2507,SEEUP ZYCCZYIIDD 1   110930RW06 N44002586E1254209810600N43592310E1254020350820 11150000300W01104900722                     ,SEEUP ZYCCZYIIDD 1   2S    U  N                    04900Y                              140                                 ,7,"localizer_bearing,glide_slope_latitude,glide_slope_longitude,station_declination,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,ZYCC,ZY,I,IPP,1,11010,RW24,N43590771,E125400375,2400,N44001749,E125414802,0820,,0932,0000,300,W0110,54,00673,,,,,S,Simulation application continuation,U  N,,,62349,2507,SEEUP ZYCCZYIIPP 1   111010RW24 N43590771E1254003752400N44001749E1254148020820 09320000300W01105400673                     ,SEEUP ZYCCZYIIPP 1   2S    U  N                    22900Y                              140                                 ,7,"localizer_bearing,glide_slope_latitude,glide_slope_longitude,station_declination,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
