record_type,area_code,sec,icao,icao_code,sub,localizer_identifier,ils_category,localizer_frequency,runway_identifier,localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_position_reference,glide_slope_position,localizer_width,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,supporting_facility_id,supporting_facility_icao,supporting_facility_section,supporting_facility_subsection,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,AFR,P,DNIM,DN,I,IOW,1,11090,RW17,N05244540,E007123360,1700,N05260990,E007121830,0984,,1214,0000,300,W0020,50,00392,,,,,SAFRP DNIMDNIIOW 1   111090RW17 N05244540E0071233601700N05260990E0071218300984 12140000300W00205000392                     ,S,Simulation application continuation,SAFRP DNIMDNIIOW 1   2S    U  N                    16800N                              140                                 
S,AFR,P,FAPP,FA,I,PPI,1,10870,RW05,S23500209,E029280558,0540,S23512111,E029265332,3833,,1033,0000,300,W0160,49,04009,,,,,SAFRP FAPPFAIPPI 1   110870RW05 S23500209E0292805580540S23512111E0292653323833 10330000300W01604904009                     ,S,Simulation application continuation,SAFRP FAPPFAIPPI 1   2S    U  N                    03800Y                              140                                 
S,AFR,P,GLRB,GL,I,SK,1,11030,RW04,N06145210,W010211400,0370,N06132560,W010221070,0435,,1033,0000,300,W0060,49,00031,,,,,SAFRP GLRBGLISK  1   111030RW04 N06145210W0102114000370N06132560W0102210700435 10330000300W00604900031                     ,S,Simulation application continuation,SAFRP GLRBGLISK  1   2S    U  N                    03100N                              140                                 
S,AFR,P,GMME,GM,I,RS,1,11090,RW21,N34020812,W006454730,2120,N34034340,W006443075,1013,,0912,0000,300,W0000,50,00266,,,,,SAFRP GMMEGMIRS  1   111090RW21 N34020812W0064547302120N34034340W0064430751013 09120000300W00005000266                     ,S,Simulation application continuation,SAFRP GMMEGMIRS  1   2S    U  N                    21200N                              140                                 
S,AFR,P,HEBA,HE,I,BIL,1,11130,RW32R,N30555720,E029405940,3180,N30542640,E029421340,0998,,0971,0000,300,E0050,53,00182,,,,,SAFRP HEBAHEIBIL 1   111130RW32RN30555720E0294059403180N30542640E0294213400998 09710000300E00505300182                     ,S,Simulation application continuation,SAFRP HEBAHEIBIL 1   2S    U  N                    32300N                              140                                 
S,AFR,P,HLGD,HL,I,ISIT,1,10990,RW36,N31044386,E016353762,3580,N31024632,E016353552,1019,,0972,0000,300,E0020,50,00267,,,,,SAFRP HLGDHLIISIT1   110990RW36 N31044386E0163537623580N31024632E0163535521019 09720000300E00205000267                     ,S,Simulation application continuation,SAFRP HLGDHLIISIT1   2S    U  N                    36000N                              140                                 
S,AFR,P,HLLB,HL,I,IBNI,1,11030,RW33L,N32064682,E020152449,3270,N32050302,E020162831,1162,,1154,0000,300,E0030,55,00433,,,,,SAFRP HLLBHLIIBNI1   111030RW33LN32064682E0201524493270N32050302E0201628311162 11540000300E00305500433                     ,S,Simulation application continuation,SAFRP HLLBHLIIBNI1   2S    U  N                    33000N                              140                                 
S,CAN,P,CYOW,CY,I,IOW,1,10950,RW07,N45193572,W075383010,0710,N45184998,W075400073,1040,,1088,0450,300,W0140,58,00369,,,,,SCANP CYOWCYIIOW 1   110950RW07 N45193572W0753830100710N45184998W0754000731040 10880450300W01405800369                     ,S,Simulation application continuation,SCANP CYOWCYIIOW 1   2S    U  N                    05700N                              140                                 
S,EEU,P,LRBC,LR,I,IBC,1,11070,RW34,N46320750,E026541760,3400,N46304830,E026544280,1023,,0972,0000,300,E0050,54,00591,,,,,SEEUP LRBCLRIIBC 1   111070RW34 N46320750E0265417603400N46304830E0265442801023 09720000300E00505400591                     ,S,Simulation application continuation,SEEUP LRBCLRIIBC 1   2S    U  N                    34500N                              140                                 
S,EEU,P,LRCK,LR,I,ICK,1,11030,RW36,N44225390,E028292800,3590,N44205690,E028291840,1410,,1033,0500,300,E0070,54,00315,,,,,SEEUP LRCKLRIICK 1   111030RW36 N44225390E0282928003590N44205690E0282918401410 10330500300E00705400315                     ,S,Simulation application continuation,SEEUP LRCKLRIICK 1   2S    U  N                    00600N                              140                                 
S,EEU,P,UEEE,UE,I,IMF,1,11170,RW23,N62042690,E129443940,2330,N62061260,E129473900,2852,,0971,0000,300,W0160,51,00325,,,,,SEEUP UEEEUEIIMF 1   111170RW23 N62042690E1294439402330N62061260E1294739002852 09710000300W01605100325                     ,S,Simulation application continuation,SEEUP UEEEUEIIMF 1   2S    U  N                    21700N                              140                                 
S,EEU,P,URKG,UR,I,IGN,1,11010,RW01,N44355040,E038010610,0070,N44341630,E038002740,0673,,0911,0000,267,E0070,54,00131,,,,,SEEUP URKGURIIGN 1   111010RW01 N44355040E0380106100070N44341630E0380027400673 09110000267E00705400131                     ,S,Simulation application continuation,SEEUP URKGURIIGN 1   2S    U  N                    01400N                              140                                 
S,EEU,P,UTFA,UT,I,IAN,1,11050,RW04,N40442593,E072183880,0410,N40431374,E072165140,2137,,0911,0000,300,E0050,47,01543,,,,,SEEUP UTFAUTIIAN 1   111050RW04 N40442593E0721838800410N40431374E0721651402137 09110000300E00504701543                     ,S,Simulation application continuation,SEEUP UTFAUTIIAN 1   2S    U  N                    04600N                              140                                 
S,EEU,P,UTFF,UT,I,IZU,1,10970,RW18,N40201672,E071443546,1780,N40220863,E071444909,2740,,0791,0000,300,E0050,51,01924,,,,,SEEUP UTFFUTIIZU 1   110970RW18 N40201672E0714435461780N40220863E0714449092740 07910000300E00505101924                     ,S,Simulation application continuation,SEEUP UTFFUTIIZU 1   2S    U  N                    18300N                              140                                 
S,EEU,P,UTFN,UT,I,ISA,1,11010,RW28,N40592470,E071320995,2830,N40584626,E071341895,0674,,0791,0000,300,E0050,52,01705,,,,,SEEUP UTFNUTIISA 1   111010RW28 N40592470E0713209952830N40584626E0713418950674 07910000300E00505201705                     ,S,Simulation application continuation,SEEUP UTFNUTIISA 1   2S    U  N                    28857Y                              140                                 
S,EEU,P,UTNN,UT,I,IZR,1,11030,RW33,N42303340,E059363550,3280,N42284450,E059373970,3164,,0971,0000,300,E0070,56,00249,,,,,SEEUP UTNNUTIIZR 1   111030RW33 N42303340E0593635503280N42284450E0593739703164 09710000300E00705600249                     ,S,Simulation application continuation,SEEUP UTNNUTIIZR 1   2S    U  N                    33500N                              140                                 
S,EEU,P,UTNU,UT,I,INU,1,10950,RW31,N41354620,E060374130,3130,N41343140,E060391450,1575,,1033,0000,300,E0060,54,00322,,,,,SEEUP UTNUUTIINU 1   110950RW31 N41354620E0603741303130N41343140E0603914501575 10330000300E00605400322                     ,S,Simulation application continuation,SEEUP UTNUUTIINU 1   2S    U  N                    31900N                              140                                 
S,EEU,P,UTSA,UT,I,IHG,2,10930,RW07,N40072066,E065120309,0720,N40064592,E065090875,1927,,1093,0000,300,E0060,57,01200,,,,,SEEUP UTSAUTIIHG 2   110930RW07 N40072066E0651203090720N40064592E0650908751927 10930000300E00605701200                     ,S,Simulation application continuation,SEEUP UTSAUTIIHG 2   2S    U  N                    07800N                              140                                 
S,EEU,P,UTSA,UT,I,INL,2,10870,RW25,N40064452,E065083235,2520,N40071046,E065112721,1726,,1033,0000,300,E0060,58,01200,,,,,SEEUP UTSAUTIINL 2   110870RW25 N40064452E0650832352520N40071046E0651127211726 10330000300E00605801200                     ,S,Simulation application continuation,SEEUP UTSAUTIINL 2   2S    U  N                    25800N                              140                                 
S,EEU,P,UTSB,UT,I,IUH,1,11030,RW01,N39473430,E064291100,0050,N39455230,E064285400,1578,,1033,0000,300,E0050,54,00751,,,,,SEEUP UTSBUTIIUH 1   111030RW01 N39473430E0642911000050N39455230E0642854001578 10330000300E00505400751                     ,S,Simulation application continuation,SEEUP UTSBUTIIUH 1   2S    U  N                    01000N                              140                                 
S,EEU,P,UTSK,UT,I,IJP,1,10910,RW16,N38471270,E065464380,1590,N38483990,E065460400,1218,,1154,0000,300,E0050,56,01232,,,,,SEEUP UTSKUTIIJP 1   110910RW16 N38471270E0654643801590N38483990E0654604001218 11540000300E00505601232                     ,S,Simulation application continuation,SEEUP UTSKUTIIJP 1   2S    U  N                    16400N                              140                                 
S,EEU,P,UTSS,UT,I,IMZ,1,10950,RW09,N39420009,E067001266,0910,N39421393,E066580413,0867,,0912,0000,300,E0050,53,02200,,,,,SEEUP UTSSUTIIMZ 1   110950RW09 N39420009E0670012660910N39421393E0665804130867 09120000300E00505302200                     ,S,Simulation application continuation,SEEUP UTSSUTIIMZ 1   2S    U  N                    09600N                              140                                 
S,EEU,P,UTSS,UT,I,ISD,1,11070,RW27,N39421187,E066573946,2710,N39420626,E066594350,0981,,1093,0000,300,E0050,51,02200,,,,,SEEUP UTSSUTIISD 1   111070RW27 N39421187E0665739462710N39420626E0665943500981 10930000300E00505102200                     ,S,Simulation application continuation,SEEUP UTSSUTIISD 1   2S    U  N                    27600N                              140                                 
S,EEU,P,UTST,UT,I,INO,1,11030,RW25,N37165901,E067171872,2500,N37172923,E067191415,0989,,1033,0000,300,E0040,50,01100,,,,,SEEUP UTSTUTIINO 1   111030RW25 N37165901E0671718722500N37172923E0671914150989 10330000300E00405001100                     ,S,Simulation application continuation,SEEUP UTSTUTIINO 1   2S    U  N                    25400N                              140                                 
S,EEU,P,UTTT,UT,I,IFD,1,10850,RW26R,N41151960,E069151380,2560,N41153260,E069174590,0926,,1519,0000,300,E0050,57,01414,,,,,SEEUP UTTTUTIIFD 1   110850RW26RN41151960E0691513802560N41153260E0691745900926 15190000300E00505701414                     ,S,Simulation application continuation,SEEUP UTTTUTIIFD 1   2S    U  N                    26100N                              140                                 
S,EEU,P,UTTT,UT,I,ING,2,11050,RW08L,N41154160,E069183330,0760,N41151980,E069155090,1346,,1033,0000,300,E0050,57,01387,,,,,SEEUP UTTTUTIING 2   111050RW08LN41154160E0691833300760N41151980E0691550901346 10330000300E00505701387                     ,S,Simulation application continuation,SEEUP UTTTUTIING 2   2S    U  N                    08100N                              140                                 
S,EEU,P,UTTT,UT,I,IZW,1,11170,RW08R,N41153370,E069182390,0760,N41151320,E069155080,0671,,0971,0000,300,E0050,51,01385,,,,,SEEUP UTTTUTIIZW 1   111170RW08RN41153370E0691823900760N41151320E0691550800671 09710000300E00505101385                     ,S,Simulation application continuation,SEEUP UTTTUTIIZW 1   2S    U  N                    08100N                              140                                 
S,EEU,P,UUWW,UU,I,ITA,1,11150,RW19,N55350490,E037152230,1920,N55363570,E037162380,0743,,0911,0000,300,E0110,51,00685,,,,,SEEUP UUWWUUIITA 1   111150RW19 N55350490E0371522301920N55363570E0371623800743 09110000300E01105100685                     ,S,Simulation application continuation,SEEUP UUWWUUIITA 1   2S    U  N                    20300N                              140                                 
S,EEU,P,ZWWW,ZW,I,IOY,1,10970,RW07,N43544479,E087295743,0710,N43541585,E087272231,0984,,1073,0000,300,E0030,49,02140,,,,,SEEUP ZWWWZWIIOY 1   110970RW07 N43544479E0872957430710N43541585E0872722310984 10730000300E00304902140                     ,S,Simulation application continuation,SEEUP ZWWWZWIIOY 1   2S    U  N                    07400N                              140                                 
S,EEU,P,ZWWW,ZW,I,IRM,3,11030,RW25,N43540645,E087265683,2510,N43544268,E087292819,0984,,1132,0000,300,E0030,49,02139,,,,,SEEUP ZWWWZWIIRM 3   111030RW25 N43540645E0872656832510N43544268E0872928190984 11320000300E00304902139                     ,S,Simulation application continuation,SEEUP ZWWWZWIIRM 3   2S    U  N                    25400N                              140                                 
S,EUR,P,EGCN,EG,I,IFIN,1,11095,RW02,N53292499,W000594605,0180,N53280062,W001002369,1001,,1154,0000,310,E0000,53,00052,,,,,SEURP EGCNEGIIFIN1   111095RW02 N53292499W0005946050180N53280062W0010023691001 11540000310E00005300052                     ,S,Simulation application continuation,SEURP EGCNEGIIFIN1   2S    U  N                    01800N                              140                                 
S,EUR,P,EGCN,EG,I,IFNL,3,11095,RW20,N53274122,W001004143,1980,N53290010,W000595223,0552,,1033,0000,300,E0000,52,00026,,,,,SEURP EGCNEGIIFNL3   111095RW20 N53274122W0010041431980N53290010W0005952230552 10330000300E00005200026                     ,S,Simulation application continuation,SEURP EGCNEGIIFNL3   2S    U  N                    19800N                              140                                 
S,EUR,P,ESKN,ES,I,EKN,1,11190,RW26,N58471130,E016523910,2580,N58472600,E016552830,0541,,0951,0000,300,E0050,54,00128,,,,,SEURP ESKNESIEKN 1   111190RW26 N58471130E0165239102580N58472600E0165528300541 09510000300E00505400128                     ,S,Simulation application continuation,SEURP ESKNESIEKN 1   2S    U  N                    26300N                              140                                 
S,EUR,P,LFAQ,LF,I,ABY,1,10875,RW26,N49580820,E002401830,2640,N49581850,E002421780,1640,,1040,0000,300,E0010,54,00349,,,,,SEURP LFAQLFIABY 1   110875RW26 N49580820E0024018302640N49581850E0024217801640 10400000300E00105400349                     ,S,Simulation application continuation,SEURP LFAQLFIABY 1   2S    U  N                    26500N                              140                                 
S,LAM,P,MDSI,MD,I,ISIS,1,10910,RW21,N18293854,W069455996,2170,N18303813,W069453405,0380,,0987,0000,300,W0110,50,00148,,,,,SLAMP MDSIMDIISIS1   110910RW21 N18293854W0694559962170N18303813W0694534050380 09870000300W01105000148                     ,S,Simulation application continuation,SLAMP MDSIMDIISIS1   2S    U  U                    20600Y                              140                                 
S,MES,P,LTCA,LT,I,IELZ,0,11090,RW07R,N38360570,E039180610,0700,,,1036,,,0000,,E0060,,,,,,,SMESP LTCALTIIELZ0   111090RW07RN38360570E0391806100700                   1036     0000   E0060                            ,S,Simulation application continuation,SMESP LTCALTIIELZ0   2S    U  U                    07600N                                                                  
S,MES,P,OEKK,OE,I,IKMC,1,10870,RW31,N27544880,E045304000,3070,N27532840,E045322120,1183,,1033,0000,300,E0030,53,01341,,,,,SMESP OEKKOEIIKMC1   110870RW31 N27544880E0453040003070N27532840E0453221201183 10330000300E00305301341                     ,S,Simulation application continuation,SMESP OEKKOEIIKMC1   2S    U  N                    31000Y                              140                                 
S,MES,P,OOMS,OO,I,IML,1,10890,RW08L,N23363357,E058180226,0840,N23362623,E058154006,1737,,1094,0000,300,E0010,55,00020,,,,,SMESP OOMSOOIIML 1   110890RW08LN23363357E0581802260840N23362623E0581540061737 10940000300E00105500020                     ,S,Simulation application continuation,SMESP OOMSOOIIML 1   2S    U  N                    08500Y                              140                                 
S,MES,P,OOMS,OO,I,IMR,1,11070,RW26R,N23361916,E058150283,2640,N23363520,E058173171,2415,,1094,0000,300,E0010,57,00014,,,,,SMESP OOMSOOIIMR 1   111070RW26RN23361916E0581502832640N23363520E0581731712415 10940000300E00105700014                     ,S,Simulation application continuation,SMESP OOMSOOIIMR 1   2S    U  N                    26500Y                              140                                 
S,MES,P,OOSA,OO,I,ISE,1,11090,RW25,N17015835,E054035510,2500,N17023925,E054060994,1640,,1033,0000,300,E0010,55,00088,,,,,SMESP OOSAOOIISE 1   111090RW25 N17015835E0540355102500N17023925E0540609941640 10330000300E00105500088                     ,S,Simulation application continuation,SMESP OOSAOOIISE 1   2S    U  N                    25100N                              140                                 
S,MES,P,OOSA,OO,I,ISW,1,10870,RW07,N17025086,E054063172,0700,N17020322,E054042244,1338,,1033,0000,300,E0010,54,00068,,,,,SMESP OOSAOOIISW 1   110870RW07 N17025086E0540631720700N17020322E0540422441338 10330000300E00105400068                     ,S,Simulation application continuation,SMESP OOSAOOIISW 1   2S    U  N                    07100N                              140                                 
S,MES,P,VABP,VA,I,IBPH,1,10990,RW30,N23174670,E077185230,2980,N23170010,E077201930,1349,,0971,0000,300,W0000,54,01733,,,,,SMESP VABPVAIIBPH1   110990RW30 N23174670E0771852302980N23170010E0772019301349 09710000300W00005401733                     ,S,Simulation application continuation,SMESP VABPVAIIBPH1   2S    U  N                    29800N                              140                                 
S,MES,P,VERP,VE,I,IRAI,1,11030,RW24,N21102754,E081434060,2400,N21111839,E081451907,1082,,1093,0000,300,W0010,55,01047,,,,,SMESP VERPVEIIRAI1   111030RW24 N21102754E0814340602400N21111839E0814519071082 10930000300W00105501047                     ,S,Simulation application continuation,SMESP VERPVEIIRAI1   2S    U  N                    23900N                              140                                 
S,MES,P,VGHS,VG,I,IDA,1,10950,RW14,N23494000,E090243650,1440,N23511270,E090232860,1745,,0972,0000,300,W0010,52,00050,,,,,SMESP VGHSVGIIDA 1   110950RW14 N23494000E0902436501440N23511270E0902328601745 09720000300W00105200050                     ,S,Simulation application continuation,SMESP VGHSVGIIDA 1   2S    U  N                    14300N                              140                                 
S,PAC,P,RJCC,RJ,I,ICS,3,11150,RW19R,N42453434,E141413553,1820,N42470831,E141412450,0755,,1073,0500,300,W0100,54,00082,,,,,SPACP RJCCRJIICS 3   111150RW19RN42453434E1414135531820N42470831E1414124500755 10730500300W01005400082                     ,S,Simulation application continuation,SPACP RJCCRJIICS 3   2S    U  U                    17200N                              140                                 
S,PAC,P,VTCN,VT,I,INAN,1,11030,RW02,N18490330,E100471413,0220,N18480872,E100464808,0242,,0736,0000,340,W0010,58,00679,,,,,SPACP VTCNVTIINAN1   111030RW02 N18490330E1004714130220N18480872E1004648080242 07360000340W00105800679                     ,S,Simulation application continuation,SPACP VTCNVTIINAN1   2S    U  N                    02100N                              140                                 
S,SAM,P,SAZT,SA,I,DI,1,10990,RW19,S37150720,W059134996,1920,S37133281,W059133377,2258,,1000,0500,250,W0070,43,00548,,,,,SSAMP SAZTSAIDI  1   110990RW19 S37150720W0591349961920S37133281W0591333772258 10000500250W00704300548                     ,S,Simulation application continuation,SSAMP SAZTSAIDI  1   2S    U  Y                    18500N                              140                                 
S,USA,P,KBVY,K6,I,IBVY,0,11050,RW16,N42344969,W070543307,1570,,,0409,,,0600,,W0160,,,,,,,SUSAP KBVYK6IIBVY0   111050RW16 N42344969W0705433071570                   0409     0600   W0160                            ,S,Simulation application continuation,SUSAP KBVYK6IIBVY0   2S    U  U                    14100N                                                                  
S,USA,P,KCCY,K3,I,IIYY,0,10830,RW12,N43041197,W092361431,1250,,,0453,,,0000,,E0000,,,,,,,SUSAP KCCYK3IIIYY0   110830RW12 N43041197W0923614311250                   0453     0000   E0000                            ,S,Simulation application continuation,SUSAP KCCYK3IIIYY0   2S    U  N                    12500N                                                                  
S,USA,P,KNSI,K2,I,INSI,1,10970,RW30,N33145708,W119281336,3010,N33135838,W119265278,0055,,1003,0470,300,E0120,56,00498,,,,,SUSAP KNSIK2IINSI1   110970RW30 N33145708W1192813363010N33135838W1192652780055 10030470300E01205600498                     ,S,Simulation application continuation,SUSAP KNSIK2IINSI1   2S    U  N                    31300N                              140                                 
S,USA,P,KSPS,K4,I,ISHP,1,11050,RW15C,N33583795,W098285962,1530,N34001291,W098294190,1382,,1151,0353,300,E0050,51,00994,,,,,SUSAP KSPSK4IISHP1   111050RW15CN33583795W0982859621530N34001291W0982941901382 11510353300E00505100994                     ,S,Simulation application continuation,SUSAP KSPSK4IISHP1   2S    U  N                    15800N                              140                                 
S,USA,P,KSTL,K3,I,IJAK,1,11030,RW06,N38452728,W090211482,0640,N38445458,W090224013,1086,,1165,0461,300,W0010,50,00538,,,,,SUSAP KSTLK3IIJAK1   111030RW06 N38452728W0902114820640N38445458W0902240131086 11650461300W00105000538                     ,S,Simulation application continuation,SUSAP KSTLK3IIJAK1   2S    U  U                    06300N                              140                                 
